No,Comment,Class,Prediction
1002,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,spam,spam
661,Like this in 2015! :D﻿,not spam,not spam
624,The most liked video on YouTube...﻿,not spam,not spam
1162,Hey subscribe to me﻿,spam,spam
440,Our Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw﻿,spam,spam
40,"Believe that Jesus Christ is your savior for all your sins. If you truly believe in Jesus Christ to be your savior for all your sins then you will go to Heaven. If you believe in Jesus Christ then you are saved and you are in salvation and you have gained God’s righteousness. It matters not how much you have sinned in the past, in the present and especially in the future. Believe that Jesus Christ is your savior and you will go to Heaven forever and that is the whole truth. Spread the truth. ",spam,spam
814,"I like so much this music,  good ﻿",not spam,not spam
702,Follow me on Twitter @mscalifornia95﻿,spam,spam
1146,I love﻿,not spam,not spam
909,Fantastic!!!﻿,not spam,not spam
164,"Nice to meet You - this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading:  I sing, write original music+lyrics & play guitar, bass, drums & keyboards. I'm a 1-man-band. My music is completely independent & 100% listener-supported. If You want to hear it & if You're willing to help record new album - click on my name/picture.  Enjoy the music - wish You awesome day!",spam,spam
421,I love you Shakiria!!!!!!﻿,not spam,not spam
1034,Oh my god go to 1 billion of replay i love shakira﻿,not spam,not spam
741,OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,not spam,not spam
823,plese subscribe to me﻿,spam,spam
635,:-D ♪♪♪ This is my favorite song ♥﻿,not spam,not spam
183,check out you tube keithlinscotts one word keithlinscotts you tube .com,spam,spam
137,"Hey, I am doing the Forty Hour famine so I'll be giving up on food and social working for 40 hours. I'm doing this to raise money for African people who can't experience the luxuries that we can. So can you donate to give them a chance?  Any amount would do :)  Click on the link and donate h t t p : / / 4 0 h f . c o m . a u / A n t h o n y L a m Thanks :)",spam,spam
180,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I'm just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don't have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won't regret!!! Thank u to all the people who just give me a chance! :)",spam,spam
6,"Part 2. Holy Mary, pray for us Holy Mother of God, pray for us Holy Virgin of virgins, pray for us Mother of Christ, pray for us Mother of divine grace, pray for us Mother most pure, pray for us Mother most chaste, pray for us Mother inviolate, pray for us Mother undefiled, pray for us Mother most amiable, pray for us Mother most admirable, pray for us Mother of good counsel, pray for us Mother of our Creator, pray for us Mother of our Redeemer, pray for us ",spam,spam
1141,best song in world﻿,not spam,not spam
678,"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.﻿",not spam,not spam
675,I loved this song when I was in my teenage years!﻿,not spam,not spam
308,watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA,spam,spam
1215,How could 108k people dislike this song or video﻿,not spam,not spam
280,"Finally someone shares the same opinion as me. I've tried really hard to like Gangnam style but I just can't, I don't even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",spam,not spam
266,Check out my mummy chanel!,spam,spam
639,i am a big fan of you and i love you﻿,not spam,not spam
118,so beutiful,not spam,not spam
42,adf.ly / KlD3Y,spam,spam
1088,Check out this video on YouTube:      ﻿,spam,spam
1249,this song sucks﻿,not spam,not spam
1107,"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿",not spam,not spam
152,I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :),spam,spam
782,Check out this video on YouTube:Eminem is amazing. ﻿,spam,spam
3,HI! CHECK OUT OUR AWESOME COVERS! AND SAY WHAT YOU THINK!,spam,spam
120,awesome,not spam,not spam
103,like!!!!!,not spam,not spam
650,just came to check the view count﻿,not spam,not spam
1073,ima rapper trying to get notice please check out my mixtape   datpiff.com/mixtapes-detail.php?id=633807﻿,spam,spam
671,This video is kinda close to 1 million  views ﻿,not spam,not spam
312,Fruits and vegetables give you longer lasting energy for weight loss.  Check out youtube.com/user/36loseweight.,spam,spam
375,2.126.521.750  views!!!!!!!!!!!!!!!!!﻿,not spam,not spam
1103,The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.﻿,spam,spam
1295,"Party rock anthem is love,party rock anthem is life﻿",not spam,not spam
1131,I remember back when this was so popular everyone on our school was shuffling it was crazy﻿,not spam,not spam
64,Waka waka,not spam,not spam
734,Plizz withing my channel ﻿,spam,spam
153,"O peoples of the earth, I have seen how you perform every form of evil at your leisure! You cease not from reveling in that which I hate! Behold, you murder the innocent day and night and plot evil against your neighbor! You stand up for the rights of those who commit abomination and clap your hands as wickedness is celebrated openly in the streets!... O MOST PERVERSE AND ABOMINABLE GENERATION, SHALL I NOT REPAY?!  Hear the Word of The Lord - TrumpetCallOfGodOnline.  co m",spam,spam
234,subscribe me if u love eminem,spam,spam
1138,Suscribe My Channel Please XD lol﻿,spam,spam
770,I found out this song now﻿,not spam,spam
657,https://www.reverbnation.com/slicknick313/songs﻿,spam,spam
277,"i been working so hard for the past 60 days to improve i been writing/recording/mixing/performing 16 bars everyday im doing it for a whole year(365 days) today i'm on day 60 today i work so hard now i'm doing 2 verses everyday to improve i'm going all the way to 365 PLEASE SUBSCRIBE to my channel  help me build a fan base ,watch me improve,help me get closer to my dream i'm lyrical and i keep it real i won't leave you down i promise(: PLEASE SUBSCRIBE please like this  commment so people can see",spam,spam
1127,like the songs﻿,not spam,not spam
1071,Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!﻿,spam,spam
20,"Could you please check out my covers on my channel? I do covers like Adele, Kodaline, Imagine Dragons...and more. Please if you could spare a few minutes,  could you have a listen to one or two of my covers , Feel free to comment and subscribe :) Thank you! ",spam,spam
411,Check out this video on YouTube:Facebook lhudygirlamaya ﻿,spam,spam
810,Likeeee﻿,not spam,not spam
970,watch this with sound off!﻿,not spam,not spam
750,Like this comment if you are watching on a phone﻿,spam,spam
501,Ah. Good old times (:﻿,not spam,not spam
878,Check out this playlist on YouTube:י⛺🏤⛺⛺﻿,spam,spam
174,subscribe to my pagee please.,spam,spam
220,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the wood photograph the husky breath? When does the act retain the delightful system? The rhythm fabricates the scintillating harbor.",spam,spam
924,Me and my aunt love this song!!!!!﻿,not spam,not spam
338,marketglory . com/strategygame/andrijamatf earn real money from game,spam,spam
242,check out my new EM cover video trailer,spam,spam
264,Check out my channel im 15 year old rapper!,spam,spam
1186,Check out this video on YouTube: I ﻿,spam,spam
441,You can not hate eminem and nirvana...trust me﻿,not spam,not spam
1108,I really like this song.﻿,not spam,not spam
727,"This song is just insane.Do you dance listening to this song?( i do, lol)﻿",not spam,not spam
287,like this comment then type 1337,spam,spam
513,This song is so AWESOME!!!She made everything stand out and all the viewers  could imagine themselves at the setting of the video. Awesome Job Katy  Perry!!!!﻿,not spam,not spam
65,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don't Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",spam,spam
1178,Wow she is sexy XD﻿,not spam,not spam
899,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,spam,spam
427,Great music anyway﻿,not spam,not spam
830,please look up DHG SONGS this is my playlist with a bunch of amazing songs ﻿,spam,spam
728,It should be illegal to be this goodlooking as this babe is...﻿,not spam,not spam
1099,Who else saw jesses dancing sorry if I spelled it wrong  peace✌﻿,not spam,not spam
1243,░░░░░░░/\░░░░░▄▐░░░░░░/     \░░░▄██▄░░░░░/  (o)   \░░░░░▀█▄░░░░/             \░░░░░░▀█▄░░░/__   \   ░▄▄▄▄▄▀▀░░░░▄▄▄██▀▀▀▀░░░█▀▄▄▄█░▀▀       YOU HAVE BEEN SPOOKED BY THE SPOOKINATI░░░▌░▄▄▄▐▌▀▀▀▄░▐░░░▄▄░█░▀▀    SHARE THIS TO 666 PEOPLE TO BE UNSPOOKED ▀█▌░░░▄░▀█▀░▀ ░░░░░░░▄▄▐▌▄▄░░░░░░░▀███▀█░▄░░░░░░▐▌▀▄▀▄▀▐▄░░░░░░▐▀░░░░░░▐▌░░░░░░█░░░░░░░░█░░░░░▐▌░░░░░░░░░█░░░░░█░░░░░░░░░░▐▌﻿,spam,spam
791,"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane < songs off the top of my head that's better﻿",not spam,not spam
28,SUBSCRIBE ME AND I REQUITE,spam,spam
1161,I hate videos like these with those poor animals.﻿,not spam,not spam
251,Check out my channel for some lyricism.....,spam,spam
226,"Hello to everyone! Please check out my video: /watch?v=2b4WyWpHi8c It takes just 2 minutes, hope I don't ask too much. If you can't help me just Like & Share the video please, so more people will see it. Thumbs UP, it would mean so much to me, maybe will make my dream come true. Thanks to everyone, GOD BLESS YOU ALL!",spam,spam
649,"<script>document.write('<a target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&pub=5575096797&toolid=10001&campid=5337555197&customid=bogdan+grigore&ipn=psmain&icep_vectorid=229508&kwid=902099&mtid=824&kw=lg"">check  this out new arive on ebay</a><img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&pub=5575096797&toolid=10001&campid=5337555197&customid=bogdan+grigore&mpt='+Math.floor(Math.random()*999999999)+'"">');</script><noscript><a  target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&pub=5575096797&toolid=10001&campid=5337555197&customid=bogdan+grigore&ipn=psmain&icep_vectorid=229508&kwid=902099&mtid=824&kw=lg"">check  this out new arive on ebay</a><img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&pub=5575096797&toolid=10001&campid=5337555197&customid=bogdan+grigore&mpt= ""></noscript>﻿",spam,spam
1273,Check out this video on YouTube: http://www.youtube.com/user/jlimvuth ... Eminem ft Rihanna - Love the way you lie﻿,spam,spam
601,Party rock due and duel﻿,not spam,not spam
1170,In my opinion I think you look better with black hair then blond hair : )﻿,not spam,not spam
388,"This is so cool,why haven't I heard this before?﻿",not spam,not spam
1171,My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.﻿,spam,spam
871,https://www.indiegogo.com/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160#home ﻿,spam,spam
186,"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I'm dope....that's all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace.",spam,spam
198,"••••►►My name is George and let me tell u EMINEM is my idol my inspiration, I've listen to him growing up, I never thou I would love rap this much But I thank him for helping me find my dream. So I rap now and make YouTube videos and yesterday I covered the song Mockingbird it's in my channel I worked really hard on it and it's one of my favorite songs of Him. So please go check it out and subscribe it would mean the world to me n sorry for the spam ◄◄••­•• don't hate I'm not Eminem",spam,spam
592,Ummm... I just hit 1k subscribers. I make Minecraft videos. Help me out by checking me out?﻿,spam,spam
5,:D subscribe to me for daily vines,spam,spam
538,The best Song i saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿,not spam,not spam
456,Omg can this be the first video on YouTube to hit 1 billion views like this comment of you agree.﻿,spam,not spam
451,Good video﻿,not spam,not spam
646,LIKE AND SUBSCRIBE﻿,spam,spam
108,she is sooooo beautiful!,not spam,not spam
614,"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ﻿",not spam,not spam
1285,PARTY ROCK (8) ~﻿,not spam,not spam
531,just came here to check the views :P﻿,not spam,not spam
1201,Best World Cup Song﻿,not spam,not spam
869,you cant stop the shuffle﻿,not spam,not spam
1079,this video has 800+m viewsand the channel got 3m subscribers﻿,spam,spam
940,likeeeeeeeee﻿,not spam,not spam
333,"Huh, anyway check out this you channel: kobyoshi02",spam,spam
865,This song means so much to me thank you  soooooooooooooooooooooooooooooooooooooooo much:-) Xxx﻿,not spam,not spam
131,i can to make money,spam,spam
290,3 yrs ago I had a health scare but thankfully I’m okay. I realized I wasn’t living life to the fullest.  Now I’m on a mission to do EVERYTHING I’ve always wanted to do. If you found out you were going to die tomorrow would you be happy with what you’ve accomplished or would you regret not doing certain things? Sorry for spamming I’m just trying to motivate people to do the things they’ve always wanted to. If you’re bored come see what I’ve done so far! Almost 1000 subscribers and I just started!,spam,spam
193,I agree they are just damn spammers. They suck. Im trying to do the same and get known. I know the feeling. I will help you out and leave likes and comments on your page. I hope you could do the same and maybe subscribe to me that would be awesome thanks,spam,spam
841,Super awesome video﻿,not spam,not spam
684,She is fit﻿,not spam,not spam
154,Being paid to respond to fast paid surveys from home has enabled me to give up working and make more than 4500 bucks monthly.  To read more go to this web site bit.ly\1bSefQe,spam,spam
273,"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",spam,not spam
1080,"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U <3﻿",not spam,not spam
573,Like eminen﻿,not spam,not spam
676,Best for partying ﻿,not spam,not spam
1216,(( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿,spam,spam
763,http://www.bubblews.com/news/6401116-vps-solutions﻿,spam,spam
155,WOW muslims are really egoistic..... 23% of the World population and not in this video or donating 1 dollar to the poor ones in Africa :( shame on those terrorist muslims,spam,not spam
659,Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿,not spam,not spam
377,If i reach 100 subscribers i will tazz my self and my friend﻿,spam,spam
681,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,not spam,not spam
412,hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿,spam,spam
954,Cool﻿,not spam,not spam
632,"Still listening,still same pleasure﻿",not spam,not spam
414,"iS IN TOP 10 , IN YOUTUBE TOP VIEWS , ON 9 IS MILEY CYRUS: http://www.google.ro/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CB8QFjAA&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_most_viewed_YouTube_videos&ei=OQ3yU9DWC8L4yQOYo4GoAw&usg=AFQjCNGKM-Idplal6kuVKoEkVgdTT2jVLQ&sig2=OnqZzad3q3CmNBe9nml4gA&bvm=bv.73231344,d.bGQ&cad=rja ﻿",spam,spam
964,sub my channel for no reason -_-﻿,spam,spam
738,Help Please!!  http://www.gofundme.com/RJanimalcare﻿,spam,spam
288,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language.",spam,spam
326,"This great Warning will happen soon. ,0
LneaDw26bFst76VHKJL8PxaEy6VMNlvmriUDTSFK6vY,Ali Paša,2013-09-26T22:28:17.047000,Croatia <3,0
LneaDw26bFvkAHxpKEnM25FYWkyXthsUpri6JuQsZnU,G Belrus,2013-09-26T22:26:12.832000,Nice one,0
LneaDw26bFtvZQt6JUEhasIEFRJG1exI_dVqdnQVPho,exode. comeback.,2013-09-26T22:23:00.710000,600m views.,0
LneaDw26bFunOarAg71AwGU6TJO6aZDKFIUn_TZ1_HY,Muhammad Shaeel Abbas,2013-09-26T22:15:45.476000,Fuck off!,0
LneaDw26bFt-oToUFj0z3vffLFNaxyKwZSIVQhiMx-E,Notorious Niko,2013-09-26T22:00:43.613000,""Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko ",spam,spam
833,Song name??﻿,not spam,not spam
617,"860,000,000 lets make it first female to reach one billion!! Share it and replay it! ﻿",not spam,not spam
535,Katy Perry can't sing for shit. All i hear it autotune.﻿,not spam,not spam
544,why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿,not spam,not spam
798,Yo like what up this song is fricking beast anywon herd the see mee rollin or I woke up in a new Buggti check out nuketown rap I was shooting in it see my nice quick scoping things training for faze adoult freind sang I was at my freinds house doing it we just had the rap going and we were doing fun things ﻿,spam,spam
1090,if watching in 2015 subscribe to +SuperMarioLogan ﻿,spam,spam
316,WATCH MY VIDEOS AND SUBSCRIBE,spam,spam
1274,Love this song! My soccer team made a cd for our couch with this song on it!﻿,not spam,spam
1199,Love Song﻿,not spam,not spam
972,so many comments.﻿,not spam,not spam
340,who is going to reach the billion first : katy or taylor ?﻿,not spam,not spam
93,"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",spam,spam
458,:D﻿,not spam,not spam
1144,Check out this playlist on YouTube:﻿,spam,spam
1085,https://viralangels.com/user/d4aaacwk﻿,spam,spam
16,Earn money for being online with 0 efforts!    bit.ly\14gKvDo,spam,spam
1052,"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",not spam,not spam
146,"Echa un vistazo a la remezcla! / Check out the remix!  MILEY CYRUS - WRECKING BALL (THE HOUSE OF EDM REMIX)  MILEY CYRUS - WRECKING BALL (VINCENT T. REMIX)  ...click, enlace, suscríbase! / ...click, link, subscribe!",spam,spam
45,"  Haha , Miley Cyrus has done it once again  Today someone leeched a porno video with her on a celeb site   I believe the website link is : miley-celeb-news.co.uk in case you want to view it.... ",spam,spam
1098,me segue ha  https://www.facebook.com/marcos.sousa4?fref=ts﻿,spam,spam
1001,She's awesome XD﻿,not spam,not spam
91,I love this song for two reasons: 1.it is about Africa 2.i was born in beautiful south Africa,not spam,not spam
919,OPPA GANGNAM STYLE!!!﻿,not spam,not spam
1250,super﻿,not spam,not spam
930,Please check out my acoustic cover channel :) thanks ﻿,spam,spam
652,subscribe﻿,spam,spam
306,SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG   SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG,spam,spam
141,"Hey, have you tried ""DribblePROshot"" yet? Just do a search on Google. On their website you will find a useful free video demonstrating the right way to enormously improve your soccer or football skills in no time... It transformed Fausto into a substantially better football/soccer player...to the amazement of his team mates. Hopefully it works for you too.",spam,spam
1091,Eminem is idol for very people in España and Mexico or Latinoamerica﻿,not spam,not spam
569,"Hey guys, I was working last night on this project, it's a music streamer  like spotify, but it allows you to download the files to listen to when  you're offline. Opening it as a free beta, feel free to try it out :) download: https://mega.co.nz/#!ehVjzKyA!5bGKg2iWPHZOHWAEUesrWnegqG_lABcO7Rw9WFX8hAo﻿",spam,spam
1291,I love the way you lie﻿,not spam,not spam
837,still.. this reminds me of 1 years back when i was do shuffle everyday﻿,not spam,not spam
936,"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",spam,spam
115,I like,not spam,not spam
304,"yo I know nobody will probably even read this..  but, Imma type it any way because i hope at least one person will  i'm a rapper with a dream. I know there's like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the ""THUMBS UP"" other people will see it  just a simple button press? could make my dream come true =) Thank You",spam,spam
713,https://www.facebook.com/myfunnyriddles﻿,spam,spam
283,check out my page ADAM B BEATS 2013,spam,spam
35,please visit our web: wellcomemd.blogfa.com,spam,spam
1207,I love it﻿,not spam,not spam
695,Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,spam,spam
550,Really good song .you know love song song.﻿,not spam,not spam
1044,I love this song and expect the World Cup .﻿,not spam,not spam
1265,check out mah girl it duh shit yo﻿,spam,spam
1,this song is racist,not spam,not spam
1126,I like the Mmph version better﻿,not spam,not spam
628,http://www.twitch.tv/daconnormc﻿,spam,spam
691,nice ..very nice﻿,not spam,not spam
582,"HAHAA THIS DANCE IS TIGHTTTTI know y'all ""…ain't got time for MY demo man""  but check out some of my stuffSlappers on slappers on bangers! Click that link below to peep game! ENJOY. https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk﻿",spam,spam
747,Love﻿,not spam,not spam
343,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,not spam,not spam
160,Love it,not spam,not spam
94,I WILL NEVER FORGET THIS SONG IN MY LIFE LIKE THIS COMMENT OF YOUR HEARING THIS SONG FOR LIKE A YEAR!!!!!,spam,spam
950,https://binbox.io/DNCkM#qT4Q1JB1﻿,spam,spam
1093,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,spam,spam
486,"Every time I hear this song, I think about Iniesta's goal against the Netherlands...﻿",not spam,not spam
367,"I guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him.... ﻿",not spam,not spam
884,With the korean girl more slut and bitch : Hyuna :'33﻿,not spam,not spam
796,OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBE﻿,not spam,not spam
548,every bady yust have a good time﻿,not spam,not spam
46,She is perfect! &lt,not spam,not spam
368,Thumbs up if your watching in 2015﻿,spam,spam
413,I did a cover if u want to check it out THANK U.....Michael Age 8﻿,spam,spam
410,Subscribe to My CHANNEL﻿,spam,spam
619,"Rihana, Love Me. :(﻿",not spam,not spam
